Rented Bike Count,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation,Rainfall,Snowfall,year,hour_sin,hour_cos,month_sin,month_cos,weekday_sin,weekday_cos,temp_humidity,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday,Functioning Day_Yes
254,-1.5139572362780525,-1.042482884587357,0.4584757759647645,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,2.6383288803453393e-17,1.414213562373095,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.3132961740325724,False,False,True,True,True
204,-1.5390741483279362,-0.9933699887973514,-0.8925614955119693,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,0.36602540378443865,1.3660254037844388,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.3355127188074087,False,False,True,True,True
173,-1.580935668411076,-0.9442570930073456,-0.6995561710152931,0.9258713477706347,-1.6672618610968273,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,0.7071067811865475,1.2247448713915892,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.3689713705767403,False,False,True,True,True
107,-1.597680276444332,-0.8951441972173398,-0.7960588332636312,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,1.0,1.0000000000000002,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.387708215567566,False,False,True,True,True
78,-1.580935668411076,-1.0915957803773628,0.5549784382131023,0.9258713477706347,-1.73617655645942,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,1.2247448713915892,0.7071067811865478,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.3448811413028217,False,False,True,True,True
100,-1.614424884477588,-1.042482884587357,-0.21704285977360252,0.9258713477706347,-1.7438337448330412,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,1.3660254037844388,0.36602540378443865,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.3727187395749056,False,False,True,True,True
181,-1.6311694925108438,-1.1407086761673686,-0.4100481842702787,0.9258713477706347,-1.8050912518220124,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,1.4142135623730951,1.651719222773127e-16,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.3649563323644207,False,False,True,True,True
460,-1.6981479246438673,-0.9933699887973514,-0.7960588332636312,0.9258713477706347,-1.7897768750747698,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,1.3660254037844388,-0.3660254037844384,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.4321413051172385,False,False,True,True,True
930,-1.7148925326771234,-1.042482884587357,-0.603053508766955,0.9258713477706347,-1.8280628169428768,-0.6436202182560112,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,1.2247448713915892,-0.7071067811865471,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.4321413051172385,False,False,True,True,True
490,-1.6227971884942156,-1.5336118424874146,-1.1820694822569837,0.807501690688713,-2.0271497146570328,-0.3903672573157165,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,1.0000000000000002,-0.9999999999999997,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.2906781254365043,False,False,True,True,True
339,-1.3716280679953772,-1.6809505298574319,-0.5065508465186169,0.919295255710528,-1.935263454173576,0.0931156681157554,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,0.7071067811865475,-1.224744871391589,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.1682194599607503,False,False,True,True,True
360,-1.1204589474965387,-1.8282892172274492,-0.4100481842702787,0.8206538748089266,-1.858691570437362,0.42694911662796203,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,0.36602540378443904,-1.3660254037844384,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.0698510237589152,False,False,True,True,True
449,-0.9362682591307239,-1.7300634256474376,-0.3135455220219407,0.9258713477706347,-1.6289759192287205,0.6226445864454627,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,1.995745000505521e-16,-1.4142135623730947,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-1.003469058648561,False,False,True,True,True
451,-0.8776621310143281,-1.631837634067426,-0.1205401975252643,0.9258713477706347,-1.5064609052507785,0.6802020775682568,-0.13179988368373619,-0.17189109256898677,-3.282406670171969,-0.3660254037844387,-1.3660254037844384,0.007625932179129215,1.414673093350296,-0.6124473390990701,-1.2695953723425828,-0.9754976257693999,False,False,True,True,True
